sentiment	productId	userId	summary	text	helpfulY	helpfulN
-1	B003T0W5LK	A1KOT8QF046CCQ	My Error	This was shown next to the same product in a 3 pack but not Amazon Prime. The prices were almost identical but the other had a $10 shipping fee. I believed I was ordering a three pack. I got a one pound can for $12.64 that I could have bought for less in my local supermarket! Caveat Emptor, Let the Buyer Beware!<br />Guess I got hosed on this one. Has happened before I must remember to read the whole page befor placing orders. Even then you do not always get what was pictured.	2	0
1	B003QNJYXM	A3EFN73FY0AW32	Energy for more than five hours :-)	Doesn't give you the jitters and doesn't tast bad either.  Prefer this over the sweet drinks that you have to drink over 8 oz	0	0
-1	B000QSON4K	A1DGJ84K1GYJXF	This *may* give your dog diarrhea, but they do their job.	My dog is 12, and has had constantly firm stool his whole life.  After a dental surgery, I used these, and assume the medicine was giving him diarrhea.  After he was better, and no more pills... I was still using these leftover pockets to smear into an old hollow bone (they are very pliable and many are cracked and smoooooshed, already, prior to opening the package), and he continued to have diarrhea.  I was just worried something happened due to the mediciation, but finally put two and two together.  Googling these pill pockets, diarrhea is a side effect.  So be aware.  These work well for the pill part, but the drawbacks are there too.<br /><br />Also, I haven't talked about diarrhea this much in my whole life.  I have heard the only time it's good to have diarrhea is in scrabble, because it's worth a crapload of points. I saw someone on Twitter ask Greenies if Diarrhea was a side effect.. the question is hilarious: [...]<br /><br />Anyhoo... we love our dogs.  We hate messy poop.  There may be better ways.  Making the poopy that loose makes me think it can't be too healthy?	1	0
-1	B008K9TQPS	A3R9P241ZX3NNY	Not for me	I got a cup of this in a variety pack of K-cups.  I'm glad I only got one cup of it, because I ended up pouring it out.  It was awful - tasted like charcoal.	1	0
1	B00390T5JA	A2TJG4N8LNJW23	We really couldn't be happier and now our Cusinart is in retirement...	"My boyfriend and I received the Keurig Elite brewer as a Christmas gift after lusting after the brewers all of my friends and family owned.  We have been using a trusty Cuisinart 10-cup drip brewer for a couple of years now, and while it has served us well, it was a challenge to get a consistent cup of coffee.  Somehow we always ended up on either the too-strong or two-weak side of the line, despite our best efforts to be consistent.<br /><br />I should mention that we are students living on a very strict budget and we knew that the Keurig would end up being a little bit more costly than our Cuisinart.  But we really liked the idea of brewing coffee a cup at a time and cutting down on waste.  Thankfully, my generous sister surprised us with one for Christmas and it has really turned out to be a perfect gift!<br /><br />WARNING!<br /><br />I feel it is important to mention that we almost sent this back.  Considering how I've been singing its praises, I'm sure this is surprising, but there is something that ALL new Keurig owners should be made aware of.  The first maybe six or so cups aren't going to taste quite right.  Apparently this is a common problem.  There is a sort of plastic-y taste going on, even with coffees that don't normally have that fake finish.  It's the newness of the brewer.  Run five cups of straight water through it and then one cup of white vinegar to get rid of this problem.  I can't imagine how many people must have received one of these and then written it off immediately because of this issue.  It's a quick fix and a one-time deal, so be aware of that ahead of time.<br /><br />Now... as I was saying:<br /><br />The Keurig Elite is the entry level of the full size brewers (Keurig also makes a Mini, but we have friends who have had problems with that model).  It has a great water carafe that only needs to be refilled once every six cups (convenient!).  There is no digital display unlike some of the higher end models, but we don't find that a problem.  For those wanting to set up brew times in advance, though, that might be a make-or-break feature.  We manage just fine without it in our household.  It has the two cup sizes and, although they are only two ounces apart in size, the difference between the two can be quite dramatic.  I like a milder cup of coffee while my boyfriend prefers something stronger so I brew on the larger size while he picks the more potent smaller for his cup.<br /><br />When we turn the power on in the morning it takes about 3 minutes for the brewer to heat up and then it really truly does brew the cup in less than a minute.  SO convenient when you want to make a quick cup on your way out the door!  No muss, no fuss.<br /><br />We tried out several pods from the 12 k-cup sample pack the brewer came with (another bonus!) and since then we've also tried out a few of Keurig's other offerings.  It's really hit-and-miss in terms of what you'll like and what will be positively NOT your cup of coffee.  Here are some of the blends we have tried and enjoyed:<br /><br /><a href=""http://www.amazon.com/gp/product/B00474OR8G"">Caribou Coffee, Caribou Blend, K-Cup Portion Pack for Keurig K-Cup Brewers, 24-Count</a> - Our standard go-to good cup of coffee.  Nothing fancy or amazing, but consistently good flavor.  You can't go wrong with this medium roast.<br /><a href=""http://www.amazon.com/gp/product/B003JA5KLM"">Green Mountain Coffee Nantucket Blend, 24-Count K-Cups for Keurig Brewers (Pack of 2)</a> - An alternative to the Caribou Blend that might be easier to find in most stores.  One of the few Green Mountain cups that I've tried and enjoyed.<br /><a href=""http://www.amazon.com/gp/product/B005IPJTZE"">Swiss miss Hot Cocoa K-Cup, Milk Chocolate, 12-Count</a> - The only hot chocolate k-cup we've tried and enjoyed so far.  It is artificially sweetened and you can tell that immediately, but it isn't weak or watery and definitely gets the job done.  Tip: shake the pod before you put it in the machine to loosen the powder.<br /><br />The only thing I don't like about the Keurig and its pod system, however, is that the pods are wasteful and non-recyclable.  Very disappointing.  Keurig is reportedly working on making a recyclable pod, but until that comes out I feel a bit guilty about going through the pods so quickly.  However, there is a solution to this problem!  We picked up the <a href=""http://www.amazon.com/gp/product/B0051SU0OW"">ekobrew Cup, Refillable Cup For Keurig K-Cup Brewers, Brown, 1-Count</a> to use with our brewer!  And it has been perfect!  I'm Canadian so every time I visit home I pick up a big drum of Tim Horton's coffee (the best cheap coffee money can buy) and I can still use it in this little reuseable k cup.  Some reviewers had said that the ekobrew doesn't work with all Keurig models but I can attest to the fact that it works perfectly with the Elite brewer.  Apparently it is leaps and bounds better than Keurig's own reuseable My K Cup pod.  It's definitely worth the $10!<br /><br />Honestly, you really can't go wrong with the Keurig Elite.  We love it as a one-cup brewer without all the bells and whistles and we can't wait to try out the new pods we're set to receive from the included buy 2 get 2 free promotion through Keurig's website."	1	1
1	B0030VBRIU	A2BT4NQWOUS5C0	Delicious introduction to solids	My 14 month old loves this stuff--it's a little chunkier than some of their other products, but it's a great introduction to solids!	1	0
1	B002NHYQAS	A357B3PUHSVQA	Smooth, not too sweet.  Very good though a bit simple for hard core chocoholics	"Summary: a very good ""starter"" gourmet dark chocolate for those who aren't into strong flavors...<br /><br />We eat a disturbing amount of chocolate around our house, whether it's Lindt, Ghiradelli, Sees, Cadbury, Toblerone, Scharffen Berger, Godiva or even Hershey's, we've had it.<br /><br />We tend towards the very dark chocolates, although i do have to say we had some Lindt in the 90% range which was just a bit too sharp.  I'm also a espresso aficionado.<br /><br />This chocolate has a very smooth texture.  It's well tempered and starts out quite firm in the mouth, then melts to a very smooth consistency.  It's fairly sweet for a dark chocolate - not as sweet as a Hershey's special dark, but more than other dark chocolates in this range.  54% cocoa gives a much stronger taste than Milk chocolate and here it still has a very creamy finish with no sharp aftertaste.  Still, I found it simply ""chocolate"" without any accompanying flavors you tend to notice in the stronger chocolates.<br /><br />If you like your coffee black or like cappuccinos then this might be for you.  If you drink Turkish coffee or espresso then this probably won't have enough punch for you."	0	0
1	B002AR14WO	A2RIX3T3I9AGC3	Love this.	This tea is healthy and extremely tasty.  It is so satisfying sometimes I just have a couple of cups of hot chocolate puerh for breakfast and I don't need any food.  This is good mixed with magnolia puerh.  One tea bag of each to a tea/coffee mug and you can fill it up to three times and it will retain the robust flavor.	1	0
-1	B0090X8IPM	A3T3S48UAVTUE9	Starbucks Fusions Vanilla	I anticipated the arrival of this product, but was quite disappointed when I tried it.  Althought a milder version of most of the Starbucks coffees, I couldn't taste a vanilla flavor in it.  There is barely a vanilla scent when you put your nose in the bag.  I wouldn't try another bag.	0	0
-1	B002T0IHJ0	ADB4W6SIYZJID	Regular flavors contain Splenda	I'm very dissappointed that the regular flavors of these soda syrups contain artificial sweeteners.  Not all of the regular flavors are available in the Natural flavors so you tend to miss out on many of the varieties. Too bad.  I might have to look into making my own syrups.	5	4
1	B0029Y6AJ0	A2MTHFX4CDA50V	I love these cookies	These cookies are very thin and crisp and remind me of gingerbread with a slight kick.  Everyone I have given these to wants to know where to buy them.  These normally sell in 6oz tubes for about the same pice in department stores so this is a great deal.	1	0
1	B001EO61AO	A17HMM1M7T9PJ1	One of my favorite fats	Given that we are living in a time when (at least in the US) we are told that fats in our diets are bad for us, it is a real pleasure to find an item like this.  I have long been a fan of animal fats when used in moderation (O-K, not always in moderation, I did makes some duck-fat french fries not too long ago, INCREDIBLE!).  Yes, many people eat way too much fat, but more importantly they often eat the wrong ones.  Certain hydrogenated fats not only have dubious effects on our health they just don't add as much flavor as traditional fats such as butter, olive oil, chicken fat and, yes duck fat.<br /><br />I try to watch both my calorie and fat intake but I do so by eating less and choosing my fats for flavor.  Duck fat gives ordinary dishes like spinach or mashed potatoes more taste and complexity that would butter or, God forbid, margarine.  The French have known this for centuries and use duck fat to add flavor and depth to a wide variety of foods.<br /><br />I sometimes buy my duck fat in larger tubs, 10-16 oz., but I like these little 1.5 oz. containers.  They stay fresh on the shelf when unopened and then I use the entire thing, not needing to worry about finding room for it in my overly-stocked refrigerator.  The cost per ounce is not to bad when buying it in these little cups, about the same as some of the larger tubs. The only thing that I don't like is the the oils and fat solids tend to separate.  Not a big deal if I am mixing it into a dish or browning something with it, but if I want to use it as a spread (highly recommended) I have to stick it in the fridge first and then stir it up.  Other than that I must say that this is a staple for me and a great addition to any pantry (when used reasonably, of course).	14	2
1	B003SMYTCM	A3BCUMR9A6IHM8	Best for my pet	My Shih Tzu loves this treat. She will not eat any other kind of pet treat. I ran out and was awaiting shipment. In the meantime, I bought some cheetos cheese puffs and cut a puff into fourths. She noticed the difference. Needless to say, she had to be without her treat for almost a week. I promise to be a better mom next time.	1	0
-1	B000AQFQC6	ACLD6ZHBZC6TP	thoroughly disgusted	"After watching an advertisement for the tofu noodles on t.v. I decided to try them because they were supposed to taste ""just like pasta.""  That statement is a COMPLETE LIE, actually they taste just like rubber bands.  They taste TERRIBLE.  SAVE YOUR MONEY!!!"	3	1
1	B0015R9BQG	A8RR8YQL7W6G	Love primal strips!	These are absolutely the best snacks around!  Easy to carry, low-calorie, delicious, full of protein.  I go through them so fast it's unbelievable, and they're vegan!	1	1
1	B002QWP89S	A3LIZY8BL6XPCO	Terrific Product for Doggie Breath!	"The Greenies ordered through Amazon is less expensive than the ""bricks & mortar"" stores; and I plan to order another box.  We received the product a few days after placing the order.<br /><br />Terrific product, and our lab loves this treat!"	2	0
-1	B000EPUPSS	A3LCTR5JCQIASK	Twin Lab Brewer's Yeast	I was disappointed with this product.  The consistency was much too powdery.  It tended to form clumps in the jar and particles actually rose into the air whenever I scooped some out.  I guess that if you wished it to dissolve quickly in a liquid it would be all right.  For my use, I would not buy this again.	1	1
1	B000EQX7CI	AQQLWCMRNDFGI	Nice crispy chips	"I really like these chips! They are nice and crunchy. They are not oversalted (to my taste, anyhow). I think that the taste is richer than standard potato chips. Take a look at the ""nutrition facts"" on the back. One is not overdosing on salt here (one serving=5% of daily value). Saturated fat is 5%. Compare with Wise's standard potato chips: 7% salt and 15% saturated fat.<br /><br />All in all, a rich taste and perhaps a bit better fotr you than other standard brands."	1	0
1	B0049ULB78	A2EBMYVJAEIK75	Coffee lover	"I am one of those people who like for their coffee to ""walk and stand alone"". This one does. Great taste, no bitter after taste. Very dark roasted color, smell and taste. It does have backbone. I even put cream and sweetner in a cup to see if ""watered"" down. It didn't. Stayed true to taste and flavor. Oh yeal! I see a lot of this in my future."	0	0
1	B008D3BRJY	A12YZ1OMFQJNPG	Fantastic treat!	I tried this tea at a tea room recently, and it was absolutely divine. The tea had a nice balance between sweet and spicy; almost like a chai tea, but even better. My friend, who doesn't like tea, tried it and absolutely loved it. Definitely a great tea.	0	0
1	B001LQTCY2	A31J176KH7ZZEY	Nice Tea	The Coffee Bean & Tea Leaf's Lemon Chamomile tea is a nice and pleasant-tasting tea for unwinding and relaxing. The lemongrass was picked in Thailand (lemongrass is widely used in Thailand for many cooking recipes). I order any product from The Coffee Bean & Tea Leaf online since there are no Coffee Bean & Tea Leaf stores near where I live. If you want to try other excellent teas from The Coffee Bean & Tea Leaf, try these two Limited Edition teas sold directly from The Coffee Bean & Tea Leaf's website, Spring Peach Oolong and Blueberry Peach Green Tea. The Spring Peach Oolong was grown 5,000 feet above sea level in the mountains of Thailand and the Blueberry Peach Green Tea was grown 1,200 meters above sea level in the Mae Salong region of Thailand. Besides the three teas I've mentioned from The Coffee Bean & Tea Leaf, I also highly recommend their special Dutch Chocolate Powder, Vanilla Caramel flavored coffee, Raspberry Cream flavored coffee, and Limited Edition Blueberry Streusel flavored coffee. In summary, this is a great chamomile tea. Another great chamomile tea to try is Fairmont Egyptian Chamomile. I was introduced to the Fairmont Egyptian Chamomile tea in 2010 when my sister and I dined at the Fairmont Dallas Hotel's Pyramid restaurant (a restaurant with a fresh market concept and with the largest hotel/restaurant herb and vegetable garden in the Dallas region). I visited the Fairmont Dallas Hotel's gift shop and they had an excellent array of organic teas with their Egyptian Chamomile being one of them. The Egyptian Chamomile has a nice sweet taste and it's sold on fairmontstore.com in their online gift store, the tea section. I strongly recommend the Fairmont's Organic Hawaiian Kei Lani Orange Pineapple, Organic Chinese Jasmine Butterfly #1, and Organic U.S.A.'S Cascade Peppermint teas. Anyways, I'm glad that this Lemon Chamomile tea from The Coffee Bean & Tea Leaf is available for purchase on Amazon. I think it's a great economical deal to purchase this from Amazon - you get a pack of three containers (each containing 20 tea bags). I have one container at home, one at my workplace, and I gave one container to my sister. I'm satisfied with this purchase.	1	0
-1	B002TMV34E	A31I44ESG7UPR	Not My Cup Of Coffee	"I don't enjoy this blend much, but as another reviewer mentioned perhaps it needs a Melitta coffee maker for it's full potential.<br /><br />I've made 3 pots:<br /><br />First I followed the instructions (2 level teaspoons per 6 ounces). I got brown colored water.<br /><br />Then I doubled it. Tasted kind of like a cheap grocery store canned brand.<br /><br />Finally I filled a #4 filter about 1/3 full to about 9 oz of water. That produced the best results, but I still just wasn't thrilled with the flavor.<br /><br />So you know where my taste in coffee is coming from, I normally drink medium roast (which this is), so that isn't the issue. I do normally grind my own, but again pre-ground won't cause that big of a difference. My preferred daily coffee is Safeway house brand medium roast Colombian, but lately due to finances I've been drinking a dollar store brand called ""Eight O'Clock"" that's of similar (though different) quality to the Melitta.<br /><br />My suggestion is if you'd like a quality coffee in this price range look at Seattle's Best (Starbucks milder step child) or if you have a Safeway their house brand beans are quite good.<br /><br />Edit: I compared the Melitta today with a similar Millstone (Medium Roast Colombian Supremo). The Millstone was much better."	1	1
1	B000FIXT2I	A2PQ9HTHJEVMQD	5 stars for the easiest way to cook brown rice on the PLANET!	This stuff is FREAKIN AWESOME. I stumbled upon these a month ago, ordered them asap. They got to my house in a week and I've been eating 2 a week since. You don't have to season this or anything, it's perfect straight out of the microwave.<br /><br />Making brown rice in a pot is a bit of a hassle--not nearly as easy as making white rice. It takes a long time and it's hard to get a decent texture (not too mushy, not dry). This takes all the guesswork out of eating healthy. 90 seconds in the microwave and you have 2 servings of brown rice. I'm seriously never buying brown rice any other way.<br /><br />If you're even considering buying this, DO IT.	1	0
-1	B005VOOKS8	A23KA66VAK9PUA	Mild, Weak	Even though it says it's a medium roast, it's more mild and weak flavored. Would definitely have to use more pods to get better flavor. My son also tried it and used 2 pods for a 16 oz to go cup. He agreed it was weak but also commented that it had an odd flavor note to it.	2	2
-1	B001CHJ01A	A2K3J2X8KDY47N	way toooooo sweet	I usually like Gloria Jean's coffee syrups so I decided to try this coffee for my Keeurig brewer.  BIG Mistake.  I have to really be in the mood for a sweet coffee - well, to me it doesn't even taste like coffee.  I only wish I could send you one cup to try before you buy a gazillion of them like I did.<br /><br />Don't know what I'll do with 47 more of these......	1	0
-1	B0058AMY74	A22LENLDTGQIU7	Surprise 1  It's different...	Kettle chips now look, feel and taste like Lays.  These chips used to be my favorite when it was crinkle cut and hefty.  Now, no longer my favorite.	4	3
-1	B006G7XV7A	A32RO4GQUUW2PO	Nasty	I lived in Renton Wa my whole life & loved eating at the Oberto stores... When I moved to Ma. a couple of years ago I was sad that I could not have my Oberto fix since its a West Coast product!!! I finally found it online & ordered it... The jerkey is nothing like it used to be... It said new on the packaging but same great taste... It was so gross my cats turned away!!! Hopefully the ter. pep. bites will be good!!!	1	0
-1	B005HG9ERW	A22S7D0LP8GRDH	Tasted Like Plain Water...Question the Claims	This 1.5 Liter bottle of water tasted just like water. If you want water with baking soda in it that tastes like water, this seems like a good bet. I was worried about the taste...It didn't taste great to me (I guess I'm a bit of a water snob drinking only home delivery purified water) and I prefer simple RO water.<br /><br />But the big selling point of this water is that it is alkaline. The reality is that your body has a built-in pH regulating system in your lungs and your kidneys. Want to increase your blood pH? Breathe faster. But even then, when you stop thinking about it, your brain will regulate your breathing and your kidneys will adjust to make your blood pH whatever your body wants it to be. You may be able to cause some short-term changes in your blood pH by changing the pH of your water. But your lungs will quickly compensate. You may see some differences in your stomach pH and thus some relief of indigestion similar to taking an antacid. But if you are having gastrointestinal symptoms from acid, you probably shouldn't be treating with alkaline water but should seek medical help to see if you have something more serious going on or should get some more effective antacid medications that have fewer side effects than alkaline antacids. I can find no research to substantiate the claims that alkaline water is beneficial for your health.	0	1
1	B0013P3KC6	A2YKWYC3WQJX5J	Good alternative to sugar, you can bake with it!	Ok, so it's not sugar, but it's pretty darn close, and all the newest research shows it is much better for you than sugar or artificial sweeteners. I used it to bake bluberry muffins. They came out fluffier than using white sugar, although a bit less sweet. I'll be back for more, and Amazon has a good price.	9	0
-1	B000FK63IS	A1L95D54OIB36K	Not bad as a subsitute, but not the best	Before being GF, my main pastas were DiCecco, a common imported brand which cooks up authentically al dente, and Barilla, which in American comes from the mid-west (not as good as the real-Italian Barilla that we don't import).  Tinkyada pasta has a pretty strong brown rice tase and a slightly off aftertaste.  The texture is a little slippery, and it disintegrates a bit while cooking.  It's still pretty good if you serve it with a sauce that you would put on a plate of brown rice, i.e., a sauce with its own texture and assertive flavor.  It's not as good if the pasta is the star of the dish.  Of the brands I've tried, Jovial is by far the best.  The brown rice taste is minimal, even nice, and it cooks more al dente than the regular wheat American brands.	2	0
-1	B000CRIBCA	A2FWZ58M6IQMD7	Old, dry, disgusting when bought from Amazon!	I've never had a problem with Amazon, but I've ordered this product TWICE, and BOTH times the bars were almost white because the chocolate was so old, dry, and totally disgusting. When I buy these from Trader Joe's, they're great, but from Amazon - stay away! They've refunded me both times, but apparently still haven't fixed the problem, as more and more people are saying the same thing. What's going on Amazon?	2	0
-1	B006N3I0N2	A3P6NVB92HFIP2	Flavor Great but Partial Cup	Bought this because I like strong full bodied coffee.  Flavor is great and a bit more body that Timothy's Columbia Decaf.  Problem I have is that when I brew this Emeril K-cup I only ever get a partial cup and it brews extremely slow.  I can then pop in a Timothy's or Coffee People's Organic bold and I get full cups which brew at regular strength.  The partial cup and dribble brewing ONLY happens with the Emeril.  Not sure why.  I thought maybe they used a different density filter or something to have it brewing slower to get more brew time.  However, after many attempts with same result I don't that that's it.  Perhaps a defective lot of K-cups.  The brewer has been descaled recently so that's not the problem either.	0	0
1	B000KSTY86	A2YJ0S7N8ZUHMV	Simply put - the best dark roast I've had	I received this as a gift. I love dark roasted strong bodied coffee. That's the only kind of coffee I drink. My first cup was brewed in a small french press. The aroma was succulent. It didn't have the acidic aroma some compare to cat urine (my wife, a non-coffee drinker). The smell was potent, in a good way. It filled the whole downstairs with the small 2 cup press.<br />The taste was something delightful. Very bold in flavor with zero acidic flavor that I have grown accustom to with other dark roasts. There is a great nutty or woody background flavor with this coffee. Add a touch of cream to really bring out the nutty overtones. I have always been a Colmbian fanatic until I tried Caf&eacute; Altura's Peruvian Dark. Though this is beyond my regular budget. I will get it occasionally for a treat.	25	1
-1	B000RHXGS4	A2KKZHISX9YKMI	Beans are great, price is painful	"We got our shipment of beans and realized it would make at most 5 servings. That worked out to be about $5 per serving - a bit expensive for beans when you get can mix medley beans for $2 a bag. While we love the taste of the beans, labeling them ""gourmet"" may not justify the extra cost. They're beans. Fortunately I did some internet searching and found a 3-pound bag for about $14. We'll be going elsewhere next time."	4	0
1	B001E5E0YW	A39VL98HRHS7EU	Great taste, great texture!	We had this tonight for dinner. I made my own gluten free sauce & meatballs and no one could tell the difference. This is the brand I will go to. So glad it is gluten & dairy free.	0	0
1	B003R0LKTK	A3CG1XMAQJUXPS	Great dog food!	Our 2 dogs love this food. We supplement it with the same variety of Canidae dry dog food. Never gives them bad breath. Seems to be perfect for our dogs.	0	0
1	B000GG0BNE	A58N07M0ZCYMB	So Good!	I'm a tea drinker, and this Bigelow Green Tea is of my favorites. This green tea is mild, and has a very light color and a smooth taste. I try to stay away from too much sugar, so I sweeten mine with a few drops of stevia sweetener.<br /><br />I especially go to this tea when I'm sick. It's great hot, and soothes sore throat even better than chicken soup. Tea comes in sealed packets. Last time I ordered this pack was at least a year ago. I just finished my last box, and this one was as good as my first. If you like black tea, try Darjeeling from Bigelow, it's my favorite black tea.	0	0
-1	B004E4HUMY	A2D2CZEHI7KO76	It's Like Drinking A Sharpie Permanent Marker	Are you familiar with the chemical smell that emanates from the tip of a Sharpie? That's what your water will smell like when you put this in it. No matter how much of this concoction I mixed into my water, it failed to taste like sweet tea. It did have a tea-like taste but I'd put it somewhere between Snapple peach and raspberry teas. If you're a fan of sweet tea just go buy some from the store or make your own; stay far, far away from this stuff.	2	3
1	B006VRTR0K	A2PVCBYJOTHJUT	Great robust flavor!!	I love this coffee.  I love my coffee strong and rich tasting and this fits the bill. I will definitely purchase this again.	0	0
-1	B001EO5SCQ	A302P0FAFOK1U2	Dry gritty and has to be refrigerated after opened	Poor product don't waste your money	0	1
1	B000ZJYZA2	A212YQBHCWZTPI	Success!	Passed the test - Made my dad very happy. He was very pleased with the amount and quality of the pistachios.	3	1
-1	B002YJ0118	A23AQVK82FKZRK	Popcorn Tastes Stale, Dry and Old	We had just received this afternoon  and popped one bag to share this eve. We followed directions exactly. You taste the hint of movie theatre popcorn, but this popcorn is not fresh. We were very disappointed and couldn't even eat what we had popped. We have had this type of product by a different name and maker at a friends home, and their product exceeded this one with more freshness and taste  in every way. I wanted to return immediately, but Amazon policy for this item wouldn't allow it. The best popcorn is fresh popcorn. All the kernels popped; nothing burned.This is just old stale popcorn. Obviously, I would never buy it again, nor would I ever recommend it!	0	2
1	B001E5E3B2	A24Q7VAM576K8N	the best on the market, impossible to find	"This is the original raisin bran; none compare.  It is not sweetened...YEA!  It stays crunchy in milk...YEA!  Do not try to compare it to the raisin bran found on most grocery store shelves; it is a different ""animal"".  This is nuttier, heartier and not sweet.  It is closer to the earth, with less processing, less of a carbon footprint.  It is a squished wheat berry; you can tell by looking at it!  The wheat berry is steamed, flattened and baked.  You can't get more ""whole-grain"" than that.  Wheat products can be of concern, but for me, not this one.  I wish it were still sold in southern California."	1	0
-1	B0017JL5R0	A2EDZE5T2P2U7T	The Good and the Bad	"I've worked with different types of fondants and if you are reading reviews because you are new to the Fondant Cake process, here are some things to keep in mind:<br />1. Satin Ice is Yummier than most<br />2. Satin Ice is harder to work with than many<br />3. Satin Ice shouldn't be you're first ;)<br /><br />I started my Fondanting adventures using Wilton's, a brand that makes most professional cake decorators cringe. It isn't yummy, but it is forgiving. If you are new to cake-ing I would recommend using Wilton's the first few times to get the hang of things before moving to the more finicky fondants. If you start by using this fondant, you may be Freudianly misspronouncing it in a loud voice: ""I hate you SATAN Ice!!"" Really, fondant tears may stain your cheeks.<br /><br />Fondants I've used in order of easiest to work with:<br />1. Wilton's<br />2. Elite by Fondx<br />3. Satin Ice<br />4. Homemade Marshmallow<br /><br />Fondant's I've worked with in order of yummieness:<br />1. Homemade Marshmallow<br />2. Elite by Fondx<br />3. Satin Ice<br />4. (distantly) Wilton's<br /><br />I would recommend the tutorial on Satin Ice website, really great:<br />[...]<br /><br />If you are only buying Satin Ice to sculpt edible animals, than this would be a great one. For first time cake coverings, try Wilton's, get things down then come back to Satin Ice.<br /><br />Thanks for reading and good luck on your cake adventures!<br /><br />Jackie<br />domesticfits (dot) com"	75	0
1	B0002QEJ04	AA31KUJ7JI4IU	fasr	The delivery was so fast. I haven't had time to use it yet but was really impressed with the quickness it got to me. 3 days. WOW!<br />Char from WA	2	7
